url,tagfrom,tagto,organizator,isgood
https://lenta.ru/news/2019/12/15/prsm/,1316,1324,pentagon,True
https://lenta.ru/news/2019/12/15/fb/,,,,True
https://lenta.ru/news/2019/12/15/kino/,1224,1248,gazprom-media,True
https://lenta.ru/news/2019/12/15/alba/,,,,True
https://lenta.ru/news/2019/12/15/anons/,154,166,telekanal-nbc,True
https://lenta.ru/news/2019/12/15/anons/,698,707,pentagon,True
https://lenta.ru/news/2019/12/15/apple/,11,18,partiya-yabloko,True
https://lenta.ru/news/2019/12/15/apple/,868,877,mosgorduma,True
https://lenta.ru/news/2019/12/15/apple/,931,945,edinaya-rossiya,True
https://lenta.ru/news/2019/12/15/tattoo/,89,95,ia-sputnik,True
https://lenta.ru/news/2019/12/15/krazha/,170,179,gazeta-izvestiya,True
https://lenta.ru/news/2019/12/15/match/,,,,True
https://lenta.ru/news/2019/12/15/rotaru/,,,,True
https://lenta.ru/news/2019/12/15/mother16/,,,,True
https://lenta.ru/news/2019/12/15/cluchaynost/,,,,True
https://lenta.ru/news/2019/12/15/morales/,,,,True
https://lenta.ru/news/2019/12/15/veselo/,,,,True
https://lenta.ru/news/2019/12/15/tea/,140,154,rospotrebnadzor,True
https://lenta.ru/news/2019/12/15/bystro/,1210,1212,mid,True
https://lenta.ru/news/2019/12/15/potom/,296,307,roskosmos,True
https://lenta.ru/news/2019/12/15/potom/,608,612,gknpts-im-m-v-hrunicheva,True
https://lenta.ru/news/2019/12/15/fuuuu/,1040,1045,chanel,True
https://lenta.ru/news/2019/12/15/razbogateli/,715,726,vympelkom,True
https://lenta.ru/news/2019/12/15/razbogateli/,899,904,xiaomi,True
https://lenta.ru/news/2019/12/15/razbogateli/,908,912,apple,True
https://lenta.ru/news/2019/12/15/peskov/,184,186,oon,True
https://lenta.ru/news/2019/12/15/peskov/,625,640,sovet-federatsii,True
https://lenta.ru/news/2019/12/15/peskov/,727,749,sovbez-oon,True
https://lenta.ru/news/2019/12/15/peredumali/,234,237,nato,True
